Date_Key,Date,Day,Month,Month_Name,Quarter,Year,Week_Of_Year,Day_Name,Is_Weekend
1,2020-10-01,1,10,October,4,2020,40,Thursday,False
2,2020-10-02,2,10,October,4,2020,40,Friday,False
3,2020-10-03,3,10,October,4,2020,40,Saturday,True
4,2020-10-04,4,10,October,4,2020,40,Sunday,True
5,2020-10-05,5,10,October,4,2020,41,Monday,False
6,2020-10-06,6,10,October,4,2020,41,Tuesday,False
7,2020-10-07,7,10,October,4,2020,41,Wednesday,False
8,2020-10-08,8,10,October,4,2020,41,Thursday,False
9,2020-10-09,9,10,October,4,2020,41,Friday,False
10,2020-10-10,10,10,October,4,2020,41,Saturday,True
11,2020-10-11,11,10,October,4,2020,41,Sunday,True
12,2020-10-12,12,10,October,4,2020,42,Monday,False
13,2020-10-13,13,10,October,4,2020,42,Tuesday,False
14,2020-10-14,14,10,October,4,2020,42,Wednesday,False
15,2020-10-15,15,10,October,4,2020,42,Thursday,False
16,2020-10-16,16,10,October,4,2020,42,Friday,False
17,2020-10-17,17,10,October,4,2020,42,Saturday,True
18,2020-10-18,18,10,October,4,2020,42,Sunday,True
19,2020-10-19,19,10,October,4,2020,43,Monday,False
20,2020-10-20,20,10,October,4,2020,43,Tuesday,False
21,2020-10-21,21,10,October,4,2020,43,Wednesday,False
22,2020-10-22,22,10,October,4,2020,43,Thursday,False
23,2020-10-23,23,10,October,4,2020,43,Friday,False
24,2020-10-24,24,10,October,4,2020,43,Saturday,True
25,2020-10-25,25,10,October,4,2020,43,Sunday,True
26,2020-10-26,26,10,October,4,2020,44,Monday,False
27,2020-10-27,27,10,October,4,2020,44,Tuesday,False
28,2020-10-28,28,10,October,4,2020,44,Wednesday,False
29,2020-10-29,29,10,October,4,2020,44,Thursday,False
30,2020-10-30,30,10,October,4,2020,44,Friday,False
31,2020-10-31,31,10,October,4,2020,44,Saturday,True
32,2020-11-01,1,11,November,4,2020,44,Sunday,True
33,2020-11-02,2,11,November,4,2020,45,Monday,False
34,2020-11-03,3,11,November,4,2020,45,Tuesday,False
35,2020-11-04,4,11,November,4,2020,45,Wednesday,False
36,2020-11-05,5,11,November,4,2020,45,Thursday,False
37,2020-11-06,6,11,November,4,2020,45,Friday,False
38,2020-11-07,7,11,November,4,2020,45,Saturday,True
39,2020-11-08,8,11,November,4,2020,45,Sunday,True
40,2020-11-09,9,11,November,4,2020,46,Monday,False
41,2020-11-10,10,11,November,4,2020,46,Tuesday,False
42,2020-11-11,11,11,November,4,2020,46,Wednesday,False
43,2020-11-12,12,11,November,4,2020,46,Thursday,False
44,2020-11-13,13,11,November,4,2020,46,Friday,False
45,2020-11-14,14,11,November,4,2020,46,Saturday,True
46,2020-11-15,15,11,November,4,2020,46,Sunday,True
47,2020-11-16,16,11,November,4,2020,47,Monday,False
48,2020-11-17,17,11,November,4,2020,47,Tuesday,False
49,2020-11-18,18,11,November,4,2020,47,Wednesday,False
50,2020-11-19,19,11,November,4,2020,47,Thursday,False
51,2020-11-20,20,11,November,4,2020,47,Friday,False
52,2020-11-21,21,11,November,4,2020,47,Saturday,True
53,2020-11-22,22,11,November,4,2020,47,Sunday,True
54,2020-11-23,23,11,November,4,2020,48,Monday,False
55,2020-11-24,24,11,November,4,2020,48,Tuesday,False
56,2020-11-25,25,11,November,4,2020,48,Wednesday,False
57,2020-11-26,26,11,November,4,2020,48,Thursday,False
58,2020-11-27,27,11,November,4,2020,48,Friday,False
59,2020-11-28,28,11,November,4,2020,48,Saturday,True
60,2020-11-29,29,11,November,4,2020,48,Sunday,True
61,2020-11-30,30,11,November,4,2020,49,Monday,False
62,2020-12-01,1,12,December,4,2020,49,Tuesday,False
63,2020-12-02,2,12,December,4,2020,49,Wednesday,False
64,2020-12-03,3,12,December,4,2020,49,Thursday,False
65,2020-12-04,4,12,December,4,2020,49,Friday,False
66,2020-12-05,5,12,December,4,2020,49,Saturday,True
67,2020-12-06,6,12,December,4,2020,49,Sunday,True
68,2020-12-07,7,12,December,4,2020,50,Monday,False
69,2020-12-08,8,12,December,4,2020,50,Tuesday,False
70,2020-12-09,9,12,December,4,2020,50,Wednesday,False
71,2020-12-10,10,12,December,4,2020,50,Thursday,False
72,2020-12-11,11,12,December,4,2020,50,Friday,False
73,2020-12-12,12,12,December,4,2020,50,Saturday,True
74,2020-12-13,13,12,December,4,2020,50,Sunday,True
75,2020-12-14,14,12,December,4,2020,51,Monday,False
76,2020-12-15,15,12,December,4,2020,51,Tuesday,False
77,2020-12-16,16,12,December,4,2020,51,Wednesday,False
78,2020-12-17,17,12,December,4,2020,51,Thursday,False
79,2020-12-18,18,12,December,4,2020,51,Friday,False
80,2020-12-19,19,12,December,4,2020,51,Saturday,True
81,2020-12-20,20,12,December,4,2020,51,Sunday,True
82,2020-12-21,21,12,December,4,2020,52,Monday,False
83,2020-12-22,22,12,December,4,2020,52,Tuesday,False
84,2020-12-23,23,12,December,4,2020,52,Wednesday,False
85,2020-12-24,24,12,December,4,2020,52,Thursday,False
86,2020-12-25,25,12,December,4,2020,52,Friday,False
87,2020-12-26,26,12,December,4,2020,52,Saturday,True
88,2020-12-27,27,12,December,4,2020,52,Sunday,True
89,2020-12-28,28,12,December,4,2020,53,Monday,False
90,2020-12-29,29,12,December,4,2020,53,Tuesday,False
91,2020-12-30,30,12,December,4,2020,53,Wednesday,False
92,2020-12-31,31,12,December,4,2020,53,Thursday,False
93,2021-01-01,1,1,January,1,2021,53,Friday,False
94,2021-01-02,2,1,January,1,2021,53,Saturday,True
95,2021-01-03,3,1,January,1,2021,53,Sunday,True
96,2021-01-04,4,1,January,1,2021,1,Monday,False
97,2021-01-05,5,1,January,1,2021,1,Tuesday,False
98,2021-01-06,6,1,January,1,2021,1,Wednesday,False
99,2021-01-07,7,1,January,1,2021,1,Thursday,False
100,2021-01-08,8,1,January,1,2021,1,Friday,False
101,2021-01-09,9,1,January,1,2021,1,Saturday,True
102,2021-01-10,10,1,January,1,2021,1,Sunday,True
103,2021-01-11,11,1,January,1,2021,2,Monday,False
104,2021-01-12,12,1,January,1,2021,2,Tuesday,False
105,2021-01-13,13,1,January,1,2021,2,Wednesday,False
106,2021-01-14,14,1,January,1,2021,2,Thursday,False
107,2021-01-15,15,1,January,1,2021,2,Friday,False
108,2021-01-16,16,1,January,1,2021,2,Saturday,True
109,2021-01-17,17,1,January,1,2021,2,Sunday,True
110,2021-01-18,18,1,January,1,2021,3,Monday,False
111,2021-01-19,19,1,January,1,2021,3,Tuesday,False
112,2021-01-20,20,1,January,1,2021,3,Wednesday,False
113,2021-01-21,21,1,January,1,2021,3,Thursday,False
114,2021-01-22,22,1,January,1,2021,3,Friday,False
115,2021-01-23,23,1,January,1,2021,3,Saturday,True
116,2021-01-24,24,1,January,1,2021,3,Sunday,True
117,2021-01-25,25,1,January,1,2021,4,Monday,False
118,2021-01-26,26,1,January,1,2021,4,Tuesday,False
119,2021-01-27,27,1,January,1,2021,4,Wednesday,False
120,2021-01-28,28,1,January,1,2021,4,Thursday,False
121,2021-01-29,29,1,January,1,2021,4,Friday,False
122,2021-01-30,30,1,January,1,2021,4,Saturday,True
123,2021-01-31,31,1,January,1,2021,4,Sunday,True
124,2021-02-01,1,2,February,1,2021,5,Monday,False
125,2021-02-02,2,2,February,1,2021,5,Tuesday,False
126,2021-02-03,3,2,February,1,2021,5,Wednesday,False
127,2021-02-04,4,2,February,1,2021,5,Thursday,False
128,2021-02-05,5,2,February,1,2021,5,Friday,False
129,2021-02-06,6,2,February,1,2021,5,Saturday,True
130,2021-02-07,7,2,February,1,2021,5,Sunday,True
131,2021-02-08,8,2,February,1,2021,6,Monday,False
132,2021-02-09,9,2,February,1,2021,6,Tuesday,False
133,2021-02-10,10,2,February,1,2021,6,Wednesday,False
134,2021-02-11,11,2,February,1,2021,6,Thursday,False
135,2021-02-12,12,2,February,1,2021,6,Friday,False
136,2021-02-13,13,2,February,1,2021,6,Saturday,True
137,2021-02-14,14,2,February,1,2021,6,Sunday,True
138,2021-02-15,15,2,February,1,2021,7,Monday,False
139,2021-02-16,16,2,February,1,2021,7,Tuesday,False
140,2021-02-17,17,2,February,1,2021,7,Wednesday,False
141,2021-02-18,18,2,February,1,2021,7,Thursday,False
142,2021-02-19,19,2,February,1,2021,7,Friday,False
143,2021-02-20,20,2,February,1,2021,7,Saturday,True
144,2021-02-21,21,2,February,1,2021,7,Sunday,True
145,2021-02-22,22,2,February,1,2021,8,Monday,False
146,2021-02-23,23,2,February,1,2021,8,Tuesday,False
147,2021-02-24,24,2,February,1,2021,8,Wednesday,False
148,2021-02-25,25,2,February,1,2021,8,Thursday,False
149,2021-02-26,26,2,February,1,2021,8,Friday,False
150,2021-02-27,27,2,February,1,2021,8,Saturday,True
151,2021-02-28,28,2,February,1,2021,8,Sunday,True
152,2021-03-01,1,3,March,1,2021,9,Monday,False
153,2021-03-02,2,3,March,1,2021,9,Tuesday,False
154,2021-03-03,3,3,March,1,2021,9,Wednesday,False
155,2021-03-04,4,3,March,1,2021,9,Thursday,False
156,2021-03-05,5,3,March,1,2021,9,Friday,False
157,2021-03-06,6,3,March,1,2021,9,Saturday,True
158,2021-03-07,7,3,March,1,2021,9,Sunday,True
159,2021-03-08,8,3,March,1,2021,10,Monday,False
160,2021-03-09,9,3,March,1,2021,10,Tuesday,False
161,2021-03-10,10,3,March,1,2021,10,Wednesday,False
162,2021-03-11,11,3,March,1,2021,10,Thursday,False
163,2021-03-12,12,3,March,1,2021,10,Friday,False
164,2021-03-13,13,3,March,1,2021,10,Saturday,True
165,2021-03-14,14,3,March,1,2021,10,Sunday,True
166,2021-03-15,15,3,March,1,2021,11,Monday,False
167,2021-03-16,16,3,March,1,2021,11,Tuesday,False
168,2021-03-17,17,3,March,1,2021,11,Wednesday,False
169,2021-03-18,18,3,March,1,2021,11,Thursday,False
170,2021-03-19,19,3,March,1,2021,11,Friday,False
171,2021-03-20,20,3,March,1,2021,11,Saturday,True
172,2021-03-21,21,3,March,1,2021,11,Sunday,True
173,2021-03-22,22,3,March,1,2021,12,Monday,False
174,2021-03-23,23,3,March,1,2021,12,Tuesday,False
175,2021-03-24,24,3,March,1,2021,12,Wednesday,False
176,2021-03-25,25,3,March,1,2021,12,Thursday,False
177,2021-03-26,26,3,March,1,2021,12,Friday,False
178,2021-03-27,27,3,March,1,2021,12,Saturday,True
179,2021-03-28,28,3,March,1,2021,12,Sunday,True
180,2021-03-29,29,3,March,1,2021,13,Monday,False
181,2021-03-30,30,3,March,1,2021,13,Tuesday,False
182,2021-03-31,31,3,March,1,2021,13,Wednesday,False
183,2021-04-01,1,4,April,2,2021,13,Thursday,False
184,2021-04-02,2,4,April,2,2021,13,Friday,False
185,2021-04-03,3,4,April,2,2021,13,Saturday,True
186,2021-04-04,4,4,April,2,2021,13,Sunday,True
187,2021-04-05,5,4,April,2,2021,14,Monday,False
188,2021-04-06,6,4,April,2,2021,14,Tuesday,False
189,2021-04-07,7,4,April,2,2021,14,Wednesday,False
190,2021-04-08,8,4,April,2,2021,14,Thursday,False
191,2021-04-09,9,4,April,2,2021,14,Friday,False
192,2021-04-10,10,4,April,2,2021,14,Saturday,True
193,2021-04-11,11,4,April,2,2021,14,Sunday,True
194,2021-04-12,12,4,April,2,2021,15,Monday,False
195,2021-04-13,13,4,April,2,2021,15,Tuesday,False
196,2021-04-14,14,4,April,2,2021,15,Wednesday,False
197,2021-04-15,15,4,April,2,2021,15,Thursday,False
198,2021-04-16,16,4,April,2,2021,15,Friday,False
199,2021-04-17,17,4,April,2,2021,15,Saturday,True
200,2021-04-18,18,4,April,2,2021,15,Sunday,True
201,2021-04-19,19,4,April,2,2021,16,Monday,False
202,2021-04-20,20,4,April,2,2021,16,Tuesday,False
203,2021-04-21,21,4,April,2,2021,16,Wednesday,False
204,2021-04-22,22,4,April,2,2021,16,Thursday,False
205,2021-04-23,23,4,April,2,2021,16,Friday,False
206,2021-04-24,24,4,April,2,2021,16,Saturday,True
207,2021-04-25,25,4,April,2,2021,16,Sunday,True
208,2021-04-26,26,4,April,2,2021,17,Monday,False
209,2021-04-27,27,4,April,2,2021,17,Tuesday,False
